Rank,Repo,Total Invocations (12mo),Function Count,Functions (sample)
83,mrrobot-labs/cast-housecallpro-service,"2,928",1,mrrobot-cast-integration-housecallpro-prod
84,emvio-search,"2,800",1,emvio-search-production-searchAll
85,mrrobot-labs/mrrobot-cloudwatch-logs-hook,"1,342",2,"mrrobot-cloudwatch-logs-hook-prod, mrrobot-cloudwatch-logs-hook-cron-prod"
86,mrrobot-labs/mrrobot-cloudfront-logs-hook,892,1,mrrobot-cloudfront-logs-hook-cron-prod
87,mrrobot-labs/lambda-ec2-bastion,659,1,mrrobot-lambda-ec2-bastion-prod
88,mrrobot-labs/mrrobot-confluence-sgupdater,516,1,mrrobot-confluence-sgupdater-prod
89,mrrobot-labs/mrrobot-key-rotation,361,1,mrrobot-key-rotation-prod
90,emvio-mock-payout,360,5,"emvio-mock-payout-production-processSpendbackRefund, emvio-mock-payout-production-createRecipient, emvio-mock-payout-production-updateTransferStatus (+2 more)"
91,mrrobot-labs/mrrobot-log-group-cron,345,1,mrrobot-log-group-cron-prod
92,mrrobot-labs/mrrobot-vpc-terraform,80,1,mrrobot-vpn-tunnel-updater-prod
93,mrrobot-labs/sumo-terraform,59,1,mrrobot-sumo-key-rotation-prod
94,mrrobot-labs/mrrobot-lambda-checker,36,1,mrrobot-lambda-checker-cron-prod
95,mrrobot-labs/pci-azure-ad-last-login,36,1,mrrobot-pci-azure-ad-last-login-prod
96,secretsmanager-db-key-rotation,16,4,"mrrobot-sm-dbrotatorsu-nonpci-prod, mrrobot-sm-dbrotatorsu-pci-prod, mrrobot-sm-dbrotatormu-pci-prod (+1 more)"
97,mrrobot-labs/mrrobot-s3-limit-alert,12,1,mrrobot-s3-limit-alert-cron-prod
98,mrrobot-labs/mrrobot-sg-checker,12,1,mrrobot-sg-checker-cron-prod
99,apm-checkout-provider,0,1,apm-checkout-provider-production-runSofort
100,apm-speed-provider,0,1,apm-speed-provider-production-runSpeed
101,mrrobot-labs/apple-verification-lambda,0,1,mrrobot-lambda-apple-verify
102,mrrobot-labs/exchange-rate,0,1,mrrobot-data-exchange-rate-ue1-prod
103,mrrobot-labs/payment-trustmytravel-connector,0,1,payment-trustMyTravel-connector-prod
